Customer ID,Priority Level,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,0,4.5141821,1,0,0,9.2716613,16.2863716,11.7721896,
1,0,16.8927201,1,1,0,18.0791953,19.8551544,2.9624343,
2,0,26.6113671,1,2,0,37.6015483,44.6130209,18.0016538,
3,0,26.7055421,2,2,0,28.3332934,38.3708744,11.6653323,
4,0,46.0694423,1,4,0,52.8551456,57.0488797,10.9794375,
5,0,48.7382126,2,4,0,49.0356719,50.6285134,1.8903008,
6,0,52.9602034,2,5,0,67.3308756,71.6578066,18.6976032,
7,0,60.0072703,2,6,0,60.8414008,64.7589255,4.7516552,
8,0,60.8588863,3,6,0,60.8923872,75.6303904,14.7715041,
9,0,61.9668186,4,6,0,65.7169408,69.0556725,7.0888539,
10,0,64.2580582,5,6,0,71.0466733,74.9582490,10.7001908,
11,0,66.6740494,5,6,0,79.2037893,79.9777823,13.3037329,
12,0,72.6697191,4,7,0,76.0292444,76.5346456,3.8649266,
13,0,96.8012023,1,9,0,111.8331155,117.5554106,20.7542083,
14,0,132.3147225,1,13,0,145.6962260,146.1306668,13.8159443,
15,0,134.2442279,2,13,0,135.3352539,145.8900821,11.6458542,
16,0,162.1270633,1,16,0,181.9829433,183.3165061,21.1894428,
17,0,185.9911556,1,18,0,192.3700088,204.0408357,18.0496801,
18,0,191.2331006,2,19,0,194.3567013,194.4962287,3.2631281,
19,0,218.1382501,1,21,0,233.5592801,235.1399858,17.0017357,
20,0,218.4878472,2,21,0,219.3841149,219.6970164,1.2091692,
21,0,218.6472572,3,21,0,227.3530496,234.2528450,15.6055877,
22,0,234.7838815,2,23,0,242.2326869,251.4227302,16.6388487,
23,0,244.7813002,2,24,0,249.6337324,252.6332109,7.8519107,
24,0,248.9616885,3,24,0,249.5102493,262.5833263,13.6216379,
25,0,254.8311361,2,25,0,265.5681049,265.8979978,11.0668617,
26,0,258.6036643,3,25,0,263.5600459,267.4666275,8.8629632,
27,0,281.1765086,1,28,0,283.7692789,284.6654723,3.4889636,
28,0,282.8567990,2,28,0,284.5615378,285.6670239,2.8102249,
29,0,290.9489525,1,29,0,296.3415287,299.6859477,8.7369952,
30,0,295.6592840,2,29,0,295.8232605,298.5904322,2.9311482,
31,0,298.3649807,3,29,0,299.5105427,301.1431456,2.7781649,
32,0,300.0104801,2,30,0,300.3167554,300.8444687,0.8339886,
33,0,306.3946437,1,30,0,309.4843242,310.7803289,4.3856852,
34,0,306.9199758,2,30,0,308.0550953,311.3901807,4.4702049,
35,0,307.2137937,3,30,0,325.3808596,325.5449666,18.3311729,
36,0,309.0728261,4,30,0,313.7556259,316.3732682,7.3004421,
37,0,317.1342842,2,31,0,318.5608983,318.9117085,1.7774243,
38,0,327.4532685,1,32,0,330.8913757,337.9937447,10.5404762,
39,0,335.0918081,2,33,0,337.4584558,340.2208030,5.1289949,
40,0,336.2655101,3,33,0,340.6788543,341.7504432,5.4849331,
41,0,338.2911852,3,33,0,341.6407545,346.8732026,8.5820174,
42,0,339.6493118,4,33,0,339.9428876,343.7458198,4.0965081,
43,0,358.1514778,1,35,0,359.8318851,360.2447636,2.0932858,
44,0,361.9423087,1,36,0,366.0085584,369.9563488,8.0140401,
45,0,390.7119105,1,39,0,396.1549819,397.7350669,7.0231564,
46,0,421.7001151,1,42,0,423.9578795,429.3747408,7.6746257,
47,0,429.8765758,1,42,0,437.9605145,438.9156285,9.0390526,
48,0,430.7462700,2,43,0,434.7698034,435.1077207,4.3614508,
49,0,445.6414254,1,44,0,453.0104864,464.7405566,19.0991312,
50,0,449.7696220,2,44,0,451.3114180,451.9508529,2.1812309,
51,0,457.2168646,2,45,0,458.8392193,471.2597166,14.0428520,
52,0,473.7589971,1,47,0,474.7173665,482.1341736,8.3751766,
53,0,474.0537456,2,47,0,478.7689256,481.2345751,7.1808295,
54,0,489.0112960,1,48,0,493.1615357,495.0535152,6.0422193,
55,0,490.4507470,2,49,0,505.6176579,505.8110104,15.3602634,
56,0,496.0449194,2,49,0,499.1180936,499.5387924,3.4938729,
57,0,503.1203742,2,50,0,505.0657898,505.9736026,2.8532284,
58,0,516.3480041,1,51,0,516.4135840,520.1536099,3.8056058,
59,0,538.3898474,1,53,0,541.8790979,554.0819696,15.6921222,
60,0,545.1195940,2,54,0,547.9652151,550.8071980,5.6876040,
61,0,581.8553333,1,58,0,586.7212366,589.7247720,7.8694387,
62,0,594.3127470,1,59,0,595.6934338,610.4604921,16.1477450,
63,0,607.7981025,2,60,0,611.7086191,615.0614596,7.2633571,
64,0,620.5226115,1,62,0,620.9976778,621.7170360,1.1944245,
65,0,628.5098753,1,62,0,638.3096377,646.3411864,17.8313111,
66,0,663.5525771,1,66,0,694.6433112,695.3850294,31.8324523,
67,0,663.6271047,2,66,0,671.2080937,677.3614700,13.7343653,
68,0,696.1395300,1,69,0,697.0496118,713.3448398,17.2053098,
69,0,697.7319230,2,69,0,701.3299878,705.3198764,7.5879534,
70,0,700.3152607,3,70,0,710.3812173,716.6375037,16.3222430,
71,0,705.0940958,4,70,0,706.1593065,708.9528066,3.8587108,
72,0,720.6530650,1,72,0,732.1617339,735.6078016,14.9547365,
73,0,730.2102298,2,73,0,732.3901561,746.4587643,16.2485345,
74,0,738.2419470,2,73,0,760.9180945,763.1653042,24.9233572,
75,0,749.7327630,2,74,0,750.3181181,771.2844434,21.5516804,
76,0,779.6289403,1,77,0,782.3713490,783.6328767,4.0039364,
77,0,787.2276426,1,78,0,788.6968866,792.8620434,5.6344008,
78,0,799.7647864,1,79,0,799.9278980,804.0687515,4.3039651,
79,0,800.6378083,2,80,0,800.7866039,817.7249818,17.0871735,
80,0,819.4063158,1,81,0,830.9798861,835.1815238,15.7752081,
81,0,823.2599922,2,82,0,825.2021433,830.5622581,7.3022658,
82,0,852.6610303,1,85,0,860.5548877,863.0184321,10.3574018,
83,0,857.1236917,2,85,0,857.4114681,857.6184767,0.4947850,
84,0,863.1878001,1,86,0,868.8154017,874.0244381,10.8366380,
85,0,899.5855784,1,89,0,903.4399088,907.9977722,8.4121938,
86,0,902.5521766,2,90,0,903.7255852,904.0177842,1.4656076,
87,0,912.3124767,1,91,0,912.4420567,919.7017871,7.3893104,
88,0,917.4494158,2,91,0,918.9358807,921.4869280,4.0375122,
89,0,918.2806976,3,91,0,920.6712022,939.3404309,21.0597333,
90,0,932.6127521,2,93,0,939.0594475,955.1509682,22.5382161,
91,0,932.8988556,3,93,0,933.9877504,935.6041332,2.7052776,
92,0,942.6086891,2,94,0,944.5549822,952.6279240,10.0192350,
93,0,974.4434121,1,97,0,975.2988746,984.9155758,10.4721637,
94,0,981.1277727,2,98,0,1000.5057457,1001.0417713,19.9139986,
95,0,991.5845937,2,99,0,997.7612646,1002.5829382,10.9983445,
96,0,1010.9671948,1,101,0,1013.0810405,1014.0467249,3.0795301,
97,0,1025.0957487,1,102,0,1029.3091250,1047.2530980,22.1573493,
98,0,1062.4336955,1,106,0,1064.1802893,1066.5351733,4.1014777,
99,0,1079.7730862,1,107,0,1088.8177784,1097.5168591,17.7437729,
100,0,1080.6911500,2,108,0,1083.6656526,1084.8756087,4.1844587,
101,0,1090.1853898,2,109,0,1099.9190208,1102.1271265,11.9417366,
102,0,1096.1677918,3,109,0,1097.2930279,1100.3705791,4.2027873,
103,0,1108.6774181,1,110,0,1119.2313732,1120.3802654,11.7028473,
104,0,1109.4098914,2,110,0,1109.8414966,1112.1216041,2.7117127,
105,0,1112.1099567,3,111,0,1113.7206930,1134.5620862,22.4521294,
106,0,1117.4412612,3,111,0,1122.0907150,1127.8543184,10.4130572,
107,0,1122.5618156,3,112,0,1129.1884311,1137.1718586,14.6100431,
108,0,1143.2345035,1,114,0,1149.4795253,1154.5133514,11.2788479,
109,0,1164.3874922,1,116,0,1169.3632541,1170.0629773,5.6754852,
110,0,1169.6030523,2,116,0,1172.4841133,1192.2945207,22.6914684,
111,0,1173.0179496,2,117,0,1179.4603612,1181.7456365,8.7276869,
112,0,1191.6416729,2,119,0,1195.1175691,1203.2186648,11.5769920,
113,0,1209.5640650,1,120,0,1213.8359436,1217.6147957,8.0507307,
114,0,1216.4986322,2,121,0,1231.3692980,1233.3901419,16.8915097,
115,0,1255.0608238,1,125,0,1258.9452233,1259.8360963,4.7752725,
116,0,1257.6618490,2,125,0,1260.5737342,1270.6718240,13.0099750,
117,0,1262.7421052,2,126,0,1264.7528552,1266.5397115,3.7976063,
118,0,1263.7968520,3,126,0,1266.6719263,1269.4810447,5.6841927,
119,0,1312.2355509,1,131,0,1327.2497450,1331.1522385,18.9166876,
120,0,1327.3946186,2,132,0,1330.3587551,1337.4550715,10.0604529,
121,0,1353.3753694,1,135,0,1356.4935300,1357.8634025,4.4880331,
122,0,1354.9878960,2,135,0,1355.3554400,1357.4721812,2.4842852,
123,0,1394.6384612,1,139,0,1395.1006859,1402.5342614,7.8958002,
124,0,1400.3058601,2,140,0,1406.7567517,1409.0438429,8.7379828,
125,0,1416.7589203,1,141,0,1420.4147711,1425.2112281,8.4523078,
126,0,1423.2233442,2,142,0,1426.4512613,1431.7324722,8.5091280,
127,0,1432.0395070,1,143,0,1434.0751858,1437.1748960,5.1353890,
128,0,1438.8140755,1,143,0,1444.9128971,1449.1994982,10.3854227,
129,0,1442.7507994,2,0,1,1449.7930999,1450.9342147,8.1834153,
