Customer ID,Priority Level,Time of arrival,Number of people at arrival,Which 10 min interval in day,Which day in week,Time of start of service,Departure time,Wait time,
0,0,1.7929912,1,0,0,6.5852996,10.9075555,9.1145643,
1,0,13.8360116,1,1,0,20.5818270,22.2806232,8.4446116,
2,0,15.1968900,2,1,0,23.5266323,28.9315036,13.7346136,
3,0,19.4908045,3,1,0,30.0363638,31.5529272,12.0621227,
4,1,21.1159418,4,2,0,49.6516363,62.3752245,41.2592827,
5,0,23.4767093,4,2,0,33.8002131,34.5973960,11.1206867,
6,1,28.8502713,5,2,0,64.9178955,67.3133099,38.4630386,
7,1,30.3341351,5,3,0,67.3133099,69.0296543,38.6955192,
8,0,33.5978861,5,3,0,34.5973960,35.1078404,1.5099544,
9,0,34.4781239,6,3,0,38.7581026,39.0855062,4.6073823,
10,1,37.8909000,5,3,0,69.0296543,72.9447658,35.0538658,
11,0,41.8016093,5,4,0,62.3752245,62.6400417,20.8384323,
12,0,54.3597839,6,5,0,62.6400417,64.9178955,10.5581116,
13,0,73.0092512,1,7,0,73.0975420,73.1546234,0.1453722,
14,0,98.0499757,1,9,0,98.6084136,101.2328599,3.1828842,
15,0,108.2685663,1,10,0,109.5841616,115.1123407,6.8437744,
16,0,108.3257207,2,10,0,115.1123407,128.1865956,19.8608749,
17,0,115.4096236,2,11,0,128.1865956,128.6481407,13.2385171,
18,1,121.8763662,3,12,0,135.8281785,230.5836159,108.7072498,
19,1,130.2628875,2,13,0,349.4992388,373.2185762,242.9556887,
20,1,131.0073045,3,13,0,417.9543744,426.7532852,295.7459807,
21,0,133.3689271,4,13,0,230.5836159,235.7370137,102.3680867,
22,1,139.5484902,5,13,0,430.5139305,442.2465507,302.6980604,
23,1,140.0660212,6,14,0,442.2465507,450.9680375,310.9020163,
24,1,143.8289292,7,14,0,454.3555535,455.6998276,311.8708984,
25,1,145.5443185,8,14,0,455.6998276,460.7406442,315.1963257,
26,1,150.7986287,9,15,0,477.5674706,487.9253824,337.1267537,
27,0,156.8665611,10,15,0,235.7370137,237.1781534,80.3115923,
28,1,159.5307130,11,15,0,487.9253824,491.6857157,332.1550028,
29,1,161.0881572,12,16,0,491.6857157,506.4611259,345.3729688,
30,1,161.3700545,13,16,0,506.4611259,509.4621048,348.0920503,
31,0,163.8173934,14,16,0,237.1781534,238.9367084,75.1193150,
32,1,167.4318875,15,16,0,509.4621048,515.4007819,347.9688943,
33,0,169.3152758,16,16,0,238.9367084,244.9825504,75.6672747,
34,0,178.0687733,17,17,0,244.9825504,253.0757365,75.0069632,
35,1,179.3305571,18,17,0,515.4007819,516.9297117,337.5991546,
36,0,196.8906748,19,19,0,253.0757365,257.5528648,60.6621901,
37,0,197.6187196,20,19,0,257.5528648,260.0445592,62.4258396,
38,0,204.6238305,21,20,0,260.0445592,261.5922533,56.9684228,
39,1,208.0747769,22,20,0,516.9297117,517.5417958,309.4670189,
40,0,212.9176584,23,21,0,261.5922533,264.8113090,51.8936506,
41,0,218.7387603,24,21,0,264.8113090,273.2415990,54.5028387,
42,1,227.9802235,25,22,0,517.5417958,520.7159415,292.7357179,
43,1,230.2653146,26,23,0,545.2379512,547.5731636,317.3078490,
44,0,238.7284347,24,23,0,273.2415990,278.0174418,39.2890071,
45,0,242.7153971,24,24,0,278.0174418,296.2350090,53.5196120,
46,0,262.0056028,20,26,0,296.2350090,298.8987240,36.8931212,
47,0,266.6021448,20,26,0,298.8987240,300.1049557,33.5028108,
48,1,268.3081151,21,26,0,547.9415432,549.3753392,281.0672241,
49,1,280.8914327,20,28,0,549.3753392,560.1669496,279.2755168,
50,0,290.5939402,21,29,0,300.1049557,309.5664670,18.9725268,
51,0,293.5945449,22,29,0,309.5664670,320.4715551,26.8770102,
52,1,294.8077840,23,29,0,560.1669496,560.3360477,265.5282637,
53,0,297.6026401,23,29,0,320.4715551,329.0216419,31.4190018,
54,0,299.0191985,23,29,0,329.0216419,339.2567594,40.2375608,
55,1,300.7320431,23,30,0,560.3360477,565.3021238,264.5700807,
56,1,301.8902356,24,30,0,565.3021238,581.5840509,279.6938153,
57,1,313.7413995,24,31,0,592.7075635,603.1321236,289.3907241,
58,0,315.2661995,25,31,0,339.2567594,344.4373527,29.1711532,
59,1,315.5474164,26,31,0,603.1321236,607.7172141,292.1697977,
60,1,325.1124730,26,32,0,610.1490550,624.8975974,299.7851244,
61,0,331.0040935,26,33,0,344.4373527,344.4414005,13.4373070,
62,0,331.7647098,27,33,0,344.4414005,347.5724247,15.8077149,
63,0,341.8879032,27,34,0,347.5724247,349.4992388,7.6113356,
64,0,342.3070240,28,34,0,373.2185762,378.1011060,35.7940821,
65,1,346.0348907,27,34,0,624.8975974,629.4708538,283.4359631,
66,0,349.0300865,27,34,0,378.1011060,382.8328397,33.8027531,
67,0,350.6832389,27,35,0,382.8328397,384.0206864,33.3374474,
68,0,351.2470949,28,35,0,384.0206864,384.9355222,33.6884273,
69,0,355.3988550,29,35,0,384.9355222,389.1103357,33.7114807,
70,0,357.6201985,30,35,0,389.1103357,396.2441558,38.6239573,
71,0,376.6816285,30,37,0,396.2441558,403.7646954,27.0830669,
72,0,378.9731756,30,37,0,403.7646954,404.1984697,25.2252941,
73,0,379.0281458,31,37,0,404.1984697,411.0841092,32.0559634,
74,0,381.8005564,32,38,0,411.0841092,411.7132540,29.9126976,
75,1,386.0309802,30,38,0,629.4708538,639.3983147,253.3673345,
76,0,396.7185506,29,39,0,411.7132540,413.0907843,16.3722338,
77,0,402.4858087,30,40,0,413.0907843,417.9543744,15.4685657,
78,1,409.7651344,29,40,0,647.4569563,647.5032488,237.7381144,
79,0,410.3423658,30,41,0,426.7532852,430.5139305,20.1715647,
80,1,414.1626788,28,41,0,647.5032488,663.0720427,248.9093639,
81,1,421.8421149,28,42,0,668.4713737,669.9120711,248.0699561,
82,1,431.8424684,27,43,0,669.9120711,677.6001178,245.7576494,
83,0,440.8945133,28,44,0,450.9680375,454.3555535,13.4610402,
84,0,447.5430156,28,44,0,460.7406442,466.9298855,19.3868699,
85,0,449.6162943,29,44,0,466.9298855,477.5674706,27.9511763,
86,1,449.8959845,30,44,0,677.6001178,685.6377090,235.7417245,
87,1,454.4985325,29,45,0,692.9137304,696.1394086,241.6408762,
88,0,460.6426319,29,46,0,520.7159415,521.1624599,60.5198280,
89,1,464.3468076,29,46,0,696.1394086,704.0322545,239.6854469,
90,0,466.1318193,30,46,0,521.1624599,535.2370703,69.1052510,
91,0,472.9247941,30,47,0,535.2370703,535.9926495,63.0678554,
92,1,474.7761705,31,47,0,704.0322545,709.8637588,235.0875884,
93,0,486.1070161,31,48,0,535.9926495,540.8769628,54.7699467,
94,0,497.5278369,30,49,0,540.8769628,541.4182897,43.8904528,
95,1,509.2811524,30,50,0,709.8637588,713.5901083,204.3089559,
96,1,515.2708310,30,51,0,713.5901083,716.3108993,201.0400684,
97,0,516.6653140,30,51,0,541.4182897,545.2379512,28.5726372,
98,1,520.0710202,29,52,0,721.1334205,723.0812162,203.0101961,
99,1,525.6261972,28,52,0,723.0812162,732.9493260,207.3231288,
100,0,537.7104721,27,53,0,547.5731636,547.9415432,10.2310711,
101,1,552.7903227,22,55,0,732.9493260,743.4748326,190.6845099,
102,0,566.3660234,20,56,0,581.5840509,586.2944038,19.9283803,
103,1,567.4315046,21,56,0,778.7730797,779.4197500,211.9882454,
104,0,578.8458639,22,57,0,586.2944038,592.7075635,13.8616996,
105,0,604.0728445,19,60,0,607.7172141,610.1490550,6.0762105,
106,1,608.2085867,19,60,0,779.4197500,781.5964349,173.3878482,
107,1,609.5773711,20,60,0,781.5964349,783.6530183,174.0756472,
108,1,612.0287920,20,61,0,783.6530183,785.4421800,173.4133879,
109,1,622.7456752,21,62,0,785.4421800,794.9329482,172.1872731,
110,1,625.7617467,21,62,0,794.9329482,795.9104114,170.1486647,
111,0,627.4839681,22,62,0,639.3983147,645.3784934,17.8945252,
112,0,628.3397725,23,62,0,645.3784934,645.4114175,17.0716450,
113,0,630.8361604,23,63,0,645.4114175,646.3239228,15.4877624,
114,0,637.8876515,24,63,0,646.3239228,647.4569563,9.5693048,
115,1,643.2716752,24,64,0,795.9104114,799.7552575,156.4835823,
116,0,643.4863886,25,64,0,663.0720427,663.8257432,20.3393546,
117,1,646.9329725,23,64,0,799.7552575,803.3566013,156.4236287,
118,0,651.2572318,22,65,0,663.8257432,666.1535411,14.8963094,
119,0,658.9115122,23,65,0,666.1535411,668.4713737,9.5598615,
120,1,668.0270130,21,66,0,803.3566013,809.7991286,141.7721156,
121,0,669.8072943,21,66,0,685.6377090,686.0872286,16.2799343,
122,0,682.1102286,20,68,0,686.0872286,692.9137304,10.8035017,
123,1,683.3227890,21,68,0,924.3059439,929.9441251,246.6213361,
124,1,696.1416816,18,69,0,929.9441251,933.4677942,237.3261126,
125,0,711.9550222,17,71,0,716.3108993,721.1334205,9.1783983,
126,1,716.6550057,16,71,0,933.4677942,966.3592794,249.7042736,
127,1,722.1146792,16,72,0,972.3749380,974.7165137,252.6018344,
128,1,722.1444479,17,72,0,974.7165137,984.6087243,262.4642763,
129,1,723.5665383,17,72,0,1008.0764443,1010.9384635,287.3719252,
130,0,730.6321929,18,73,0,743.4748326,746.4332408,15.8010478,
131,0,731.1683686,19,73,0,746.4332408,748.3455978,17.1772292,
132,0,733.7226300,19,73,0,748.3455978,758.1138388,24.3912088,
133,1,740.6238510,20,74,0,1015.3185106,1019.6077073,278.9838563,
134,1,745.3669288,20,74,0,1019.6077073,1027.6425487,282.2756199,
135,0,748.1635595,20,74,0,758.1138388,776.1283554,27.9647960,
136,1,754.4691531,20,75,0,1028.0008523,1031.8635678,277.3944146,
137,1,755.0511426,21,75,0,1036.1354965,1039.8099365,284.7587939,
138,0,760.7308560,21,76,0,776.1283554,778.7730797,18.0422237,
139,1,776.3017993,21,77,0,1039.8099365,1057.9306421,281.6288427,
140,1,778.0281153,22,77,0,1066.1116462,1072.6485808,294.6204655,
141,0,803.2645144,15,80,0,809.7991286,856.9570287,53.6925143,
142,1,805.6495361,15,80,0,1072.6485808,1072.9829919,267.3334558,
143,1,807.4417852,16,80,0,1072.9829919,1073.7285811,266.2867959,
144,1,809.2345353,17,80,0,1073.7285811,1082.5539090,273.3193737,
145,1,812.2979531,17,81,0,1089.5620034,1091.5106790,279.2127259,
146,1,816.3157310,18,81,0,1091.5106790,1091.7395681,275.4238371,
147,0,817.9174661,19,81,0,856.9570287,857.6221374,39.7046713,
148,1,818.4642459,20,81,0,1091.7395681,1099.7190939,281.2548480,
149,0,822.7579483,21,82,0,857.6221374,882.2581430,59.5001947,
150,1,843.6266985,22,84,0,1099.7190939,1099.9346602,256.3079617,
151,1,844.5967441,23,84,0,1099.9346602,1101.2173853,256.6206411,
152,1,858.5826330,22,85,0,1101.2173853,1103.4366406,244.8540076,
153,0,864.1131110,23,86,0,882.2581430,893.6268089,29.5136980,
154,1,864.3860577,24,86,0,1103.4366406,1108.4023149,244.0162572,
155,1,873.8487481,25,87,0,1108.4023149,1108.9506026,235.1018544,
156,0,876.6101193,26,87,0,893.6268089,906.8921592,30.2820400,
157,0,877.8011855,27,87,0,906.8921592,922.5422760,44.7410905,
